Anbieter;Kurzbeschreibung Anbieter;Kurzbeschreibung des Angebots;Informationen zum Angebot;Webseite;Straße + Hausnummer des Angebotorts;Ort;PLZ des Angebotorts;Bezirk;Gratis?;Kategorie;Zielgruppen;X WGS 84;Y WGS 84;Sprache;Slug;Freigegeben
Adria Filmtheater;Kino in Berlin Steglitz;Ermäßigter Eintritt an bestimmten Tagen;ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett;https://www.cineplex.de/;Schloßstraße 48;Berlin;12165;Steglitz-Zehlendorf;nein;Kultur;Erwachsene, Senioren, Familie;13,31815862;52,45458134;de;Adria Filmtheater;Ja
Adria Filmtheater;Cinema in Berlin Steglitz;Discounted admission on certain days;discounted admission Monday to Wednesday, plus surcharges for 3D, film surcharge, loge/raised seating;https://www.cineplex.de/;Schloßstraße 48;Berlin;12165;Steglitz-Zehlendorf;nein;Kultur;Erwachsene, Senioren, Familie;13,31815862;52,45458134;en;Adria Filmtheater;Ja
Ägyptisches Museum und Papyrussammlung;Die Sammlung des Ägyptischen Museums und Papyrussammlung umfasst Meisterwerke der unterschiedlichen Epochen Altägyptens.,Statuen, Reliefs und Objekte der Kleinkunst sowie monumentale Werke der ägyptischen Architektur geben Zeugnis der Zeit von 3000 v. Chr. bis in die Zeit der Römer.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://www.smb.museum/aemp;Bodestraße 1-3;Berlin;10178;Mitte;ja;Kultur;Kinder, Erwachsene, Familie, Senioren;13,40983462;52,5228746;de;Ägyptisches Museum und Papyrussammlung;Ja
Egyptian Museum and Papyrus Collection;The collection of the Egyptian Museum and Papyrus Collection includes masterpieces from different periods of ancient Egypt. Statues, reliefs, and small art objects, as well as monumental works of Egyptian architecture, testify to the time from 3000 BC to the Roman period.;Free entry;free entry for all visitors;https://www.smb.museum/aemp;Bodestraße 1-3;Berlin;10178;Mitte;ja;Kultur;Kinder, Erwachsene, Familie, Senioren;13,40983462;52,5228746;en;Ägyptisches Museum und Papyrussammlung;Ja
Akademie der Künste;Die Berliner Akademie der Künste ist eines der ältesten europäischen Kulturinstitute mit einer internationalen Gemeinschaft von Künstlern;Ermäßigter Eintritt;ermäßigter Eintritt | variiert je nach Veranstaltung/Ausstellung 3 bis 12 Euro je nach Veranstaltung bzw. Ausstellung;https://www.adk.de/;Pariser Platz 4;Berlin;10117;Mitte;nein;Kultur;Erwachsene, Senioren;13,37953806;52,51580057;de;Akademie der Künste;Ja
Academy of Arts;The Berlin Academy of Arts is one of the oldest European cultural institutions with an international community of artists;Discounted admission;discounted admission | varies depending on the event/exhibition 3 to 12 euros depending on the event or exhibition;https://www.adk.de/;Pariser Platz 4;Berlin;10117;Mitte;nein;Kultur;Erwachsene, Senioren;13,37953806;52,51580057;en;Akademie der Künste;Ja
Alice - Museum für Kinder im FEZ-Berlin;Das Alice - Museum für Kinder im FEZ-Berlin erarbeitet seit über zehn Jahren erfolgreich Ausstellungen zum Mitmachen für Kinder, Jugendliche und Familien.;Ermäßigter Eintritt;Ermäßigter Eintritt für Berechtigungsnachweis-Inhaber*innen. Bitte an der Kasse melden.;https://alice-museum-fuer-kinder.fez-berlin.de/;Straße zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Kultur;Kinder, Familie;13,54889976;52,46090777;de;Alice - Museum für Kinder im FEZ-Berlin;Ja
Alice - Museum for Children at FEZ-Berlin;The Alice - Museum for Children at FEZ-Berlin has been successfully creating interactive exhibitions for children, teenagers, and families for over ten years;Reduced admission;Reduced admission for holders of eligibility proofs. Please report to the ticket counter;https://alice-museum-fuer-kinder.fez-berlin.de/;Straße zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Kultur;Kinder, Familie;13,54889976;52,46090777;en;Alice - Museum für Kinder im FEZ-Berlin;Ja
AlliiertenMuseum;Das AlliiertenMuseum ist ein Museum in Berlin. Es dokumentiert das Engagement und die Rolle der Westalliierten in der Bundesrepublik Deutschland und West-Berlin in der Zeit von 1945 bis 1994 und deren Beitrag zur Freiheit Berlins.;Freier Eintritt ;freier Eintritt, Offene Führung jeden 1. Sonntag um 15 Uhr;https://www.alliiertenmuseum.de;Clayallee 135;Berlin;14195;Steglitz-Zehlendorf;ja;Kultur;Erwachsene, Senioren;13,27266248;52,45594551;de;AlliiertenMuseum;Ja
Allied Museum;The Allied Museum is a museum in Berlin. It documents the commitment and role of the Western Allies in the Federal Republic of Germany and West Berlin from 1945 to 1994 and their contribution to the freedom of Berlin.;Free admission;free admission, Open tour every 1st Sunday at 3 PM;https://www.alliiertenmuseum.de;Clayallee 135;Berlin;14195;Steglitz-Zehlendorf;ja;Kultur;Erwachsene, Senioren;13,27266248;52,45594551;en;AlliiertenMuseum;Ja
Alte Nationalgalerie;Die Alte Nationalgalerie ist das Stammhaus der Nationalgalerie Berlin. Sie verwahrt derzeit etwa 2.000 Gemälde und eben soviele Skulpturen.;Freier Eintritt ;freier Eintritt;https://www.smb.museum/ang;Bodestraße 1-3;Berlin;10178;Mitte;ja;Kultur;Erwachsene, Senioren;13,40983462;52,5228746;de;Alte Nationalgalerie;Ja
Old National Gallery;The Old National Gallery is the main building of the National Gallery Berlin. It currently houses about 2,000 paintings and as many sculptures.;Free admission;free admission;https://www.smb.museum/ang;Bodestraße 1-3;Berlin;10178;Mitte;ja;Kultur;Erwachsene, Senioren;13,40983462;52,5228746;en;Alte Nationalgalerie;Ja
Altes Museum;Karl Friedrich Schinkels Altes Museum zählt zu den bedeutendsten Bauwerken des Klassizismus. Heute beherbergt das Haus die Antikensammlung.;Freier Eintritt ;freier Eintritt;https://www.smb.museum/am;Bodestraße 1-3;Berlin;10178;Mitte;ja;Kultur;Erwachsene, Senioren;13,40983462;52,5228746;de;Altes Museum;Ja
Old Museum;Karl Friedrich Schinkel's Old Museum is one of the most significant buildings of Classicism. Today, the house houses the Collection of Antiquities.;Free admission;free admission;https://www.smb.museum/am;Bodestraße 1-3;Berlin;10178;Mitte;ja;Kultur;Erwachsene, Senioren;13,40983462;52,5228746;en;Altes Museum;Ja
Amerika-Gedenkbiliothek;Die Amerika-Gedenkbibliothek ist eine der größten öffentlichen Bibliotheken Berlins. Sie war ein Geschenk der Vereinigten Staaten an die Berliner. Aus Mitteln des Marshall-Plans finanziert, wurde sie 1954 in West-Berlin zur Durchsetzung von Bildungs- und Meinungsfreiheit gegründet.;Kostenloser Bibliotheksausweis;kostenloser Bibliotheksausweis;https://www.zlb.de;Blücherpl. 1;Berlin;10961;Friedrichshain-Kreuzberg;ja;Bildung & Beratung;Erwachsene, Senioren;13,39256142;52,49671307;de;Amerika-Gedenkbiliothek;Ja
America Memorial Library;The America Memorial Library is one of the largest public libraries in Berlin. It was a gift from the United States to the people of Berlin. Funded by the Marshall Plan, it was established in 1954 in West Berlin to promote educational and freedom of expression.;Free library card;free library card;https://www.zlb.de;Blücherpl. 1;Berlin;10961;Friedrichshain-Kreuzberg;ja;Bildung & Beratung;Erwachsene, Senioren;13,39256142;52,49671307;en;Amerika-Gedenkbiliothek;Ja
Anne Frank Zentrum;Das Anne Frank Zentrum ist die deutsche Partnerorganisation des Anne Frank Hauses in Amsterdam und erinnert an das Wirken der Anne Frank.;Ermäßigter Eintritt;ermäßigter Eintritt;https://www.annefrank.de/;Rosenthaler Str. 39;Berlin;10178;Mitte;nein;Bildung & Beratung;Kinder, Erwachsene, Familie, Senioren;13,40267895;52,5242025;de;Anne Frank Zentrum;Ja
Anne Frank Center;The Anne Frank Center is the German partner organization of the Anne Frank House in Amsterdam and commemorates the work of Anne Frank.;Discounted admission;discounted admission;https://www.annefrank.de/;Rosenthaler Str. 39;Berlin;10178;Mitte;nein;Bildung & Beratung;Kinder, Erwachsene, Familie, Senioren;13,40267895;52,5242025;en;Anne Frank Zentrum;Ja
ANOHA. Die Kinderwelt des Jüdischen Museums Berlin;Thematisch orientiert sich die Kinderwelt Anoha an der Geschichte der Arche Noah aus der Tora und bieten kleinen Besuchern rund 2.700 Quadratmeter zum Forschen, Entdecken und Spielen.;Freier Eintritt ;freier Eintritt;https://anoha.de/;Fromet-und-Moses-Mendelssohn-Platz;Berlin;10969;Friedrichshain-Kreuzberg;ja;Kultur;Kinder, Familie;13,39407527;52,50324867;de;ANOHA. Die Kinderwelt des Jüdischen Museums Berlin;Ja
ANOHA. The Children's World of the Jewish Museum Berlin;Thematically, the Children's World Anoha is oriented around the story of Noah's Ark from the Torah and offers young visitors around 2,700 square meters for researching, discovering, and playing.;Free admission;free admission;https://anoha.de/;Fromet-und-Moses-Mendelssohn-Platz;Berlin;10969;Friedrichshain-Kreuzberg;ja;Kultur;Kinder, Familie;13,39407527;52,50324867;en;ANOHA. Die Kinderwelt des Jüdischen Museums Berlin;Ja
Anti-Kriegs-Museum;Das Anti-Kriegs-Mueseum ist das weltweit erste Museum gegen den Krieg und wurde vom anarchistisch-pazifistischen Kriegsgegner Ernst Friedrich 1925 gegründet.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://www.anti-kriegs-museum.de/;Brüsseler Str. 21;Berlin;13353;Mitte;ja;Kultur;Erwachsene, Senioren;13,3480844;52,54607064;de;Anti-Kriegs-Museum;Ja
Anti-War Museum;The Anti-War Museum is the world's first museum against war and was founded by the anarchist-pacifist war opponent Ernst Friedrich in 1925.;Free admission;free admission for all visitors;https://www.anti-kriegs-museum.de/;Brüsseler Str. 21;Berlin;13353;Mitte;ja;Kultur;Erwachsene, Senioren;13,3480844;52,54607064;en;Anti-Kriegs-Museum;Ja
Anti-Stalking-Projekt mit Fachbereich Cyberstalking;Das Anti-Stalking-Projekt mit Sitz in Berlin-Friedrichshain bietet drei kostenlose Beratungen für Frauen*, die von Stalking und/oder Cyberstalking betroffen sind, an.;Kostenlose Beratung;kostenlose Nutzung aller Beratungen zu Stalking, digitalem Stalking und IT-Sicherheit sowie den Gruppenangeboten und Informationsveranstaltungen;https://www.anti-stalking-projekt.de;Proskauer Str. 7;Berlin;10247;Friedrichshain-Kreuzberg;nein;Bildung & Beratung;Erwachsene, Senioren, Familie;13,46106016;52,51635647;de;Anti-Stalking-Projekt mit Fachbereich Cyberstalking;Ja
Anti-Stalking Project with Cyberstalking Specialist Department;The Anti-Stalking Project located in Berlin-Friedrichshain offers three free consultations for women* affected by stalking and/or cyberstalking;Free consultation;free use of all consultations on stalking, digital stalking, and IT security as well as group offerings and informational events;https://www.anti-stalking-projekt.de;Proskauer Str. 7;Berlin;10247;Friedrichshain-Kreuzberg;nein;Bildung & Beratung;Erwachsene, Senioren, Familie;13,46106016;52,51635647;en;Anti-Stalking-Projekt mit Fachbereich Cyberstalking;Ja
Archenhold-Sternwarte;Die Archenhold-Sternwarte im Treptower Park ist die größte und älteste Volkssternwarte Deutschlands.;Ermäßigter Eintritt;berechtigt zum Erwerb eines ermäßigten Tickets | gilt nicht für Musik- und Sonderveranstaltungen;http://www.planetarium.berlin/;Alt-Treptow 1;Berlin;12435;Treptow-Köpenick;nein;Bildung & Beratung;Erwachsene, Senioren, Familie;13,47654405;52,4858822;de;Archenhold-Sternwarte;Ja
Archenhold Observatory;The Archenhold Observatory in Treptower Park is the largest and oldest public observatory in Germany.;Reduced admission;entitles you to purchase a reduced ticket | does not apply to music and special events;http://www.planetarium.berlin/;Alt-Treptow 1;Berlin;12435;Treptow-Köpenick;nein;Bildung & Beratung;Erwachsene, Senioren, Familie;13,47654405;52,4858822;en;Archenhold-Sternwarte;Ja
Architekturmuseum der TU;Das Architekturmuseum der Technischen Universität Berlin ist eine Sammlung von Architekturzeichnungen überwiegend preußischer und deutscher Architekten des 18. bis 21. Jahrhunderts.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://architekturmuseum.ub.tu-berlin.de/;Str. des 17. Juni 150;Berlin;10623;Charlottenburg-Wilmersdorf;ja;Kultur;Erwachsene, Senioren, Familie;13,32313937;52,51365401;de;Architekturmuseum der TU;Ja
Architectural Museum of TU;The Architectural Museum of the Technical University of Berlin is a collection of architectural drawings primarily by Prussian and German architects from the 18th to the 21st centuries.;Free admission;free admission for all visitors;https://architekturmuseum.ub.tu-berlin.de/;Str. des 17. Juni 150;Berlin;10623;Charlottenburg-Wilmersdorf;ja;Kultur;Erwachsene, Senioren, Familie;13,32313937;52,51365401;en;Architekturmuseum der TU;Ja
Astrid-Lindgren-Bühne im FEZ-Berlin;Die Astrid-Lindgren-Bühne eröffnet Kindern die Welt des Theater, voller Abenteuer, Fantasie, Musik und Poesie.;Ermäßigter Eintritt;ermäßigter Eintritt je nach Programm;https://astrid-lindgren-buehne.fez-berlin.de/;Str. zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Kultur;Erwachsene, Senioren, Familie;13,54889976;52,46090777;de;Astrid-Lindgren-Bühne im FEZ-Berlin;Ja
Astrid Lindgren Stage at FEZ Berlin;The Astrid Lindgren Stage opens up the world of theater to children, full of adventure, imagination, music, and poetry.;Reduced admission;reduced admission depending on the program;https://astrid-lindgren-buehne.fez-berlin.de/;Str. zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Kultur;Erwachsene, Senioren, Familie;13,54889976;52,46090777;en;Astrid-Lindgren-Bühne im FEZ-Berlin;Ja
Atelier Shoyosei, Claudia Speer;Atelier für Japanische Kunst;Ermäßigter Beitrag;40% Ermäßigung auf Shodo - Japanische Kalligraphie Workshops;http://www.claudiaspeer.de/;Marschnerstraße 15;Berlin;12203;Steglitz-Zehlendorf;nein;Bildung & Beratung;Kinder, Erwachsene, Familie;13,31719365;52,44596729;de;Atelier Shoyosei, Claudia Speer;Ja
Atelier Shoyosei, Claudia Speer;Atelier for Japanese Art;Discounted Contribution;40% discount on Shodo - Japanese Calligraphy Workshops;http://www.claudiaspeer.de/;Marschnerstraße 15;Berlin;12203;Steglitz-Zehlendorf;nein;Bildung & Beratung;Kinder, Erwachsene, Familie;13,31719365;52,44596729;en;Atelier Shoyosei, Claudia Speer;Ja
Atze Musiktheater GmbH;Das Atze Musiktheater ist ein Musiktheater für Kinder in Berlin.;Ermäßigter Eintritt;3 Euro Ticket, Berechtigungsnachweis-Inhaber*innen können je nach Verfügbarkeit ein ermäßigtes Ticket für Veranstaltungen kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.;https://www.atzeberlin.de;Luxemburger Str. 20;Berlin;13353;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,35169341;52,54331627;de;Atze Musiktheater GmbH;Ja
Atze Music Theater GmbH;The Atze Music Theater is a music theater for children in Berlin;Discounted admission;3 Euro ticket, eligible holders can purchase a discounted ticket for events depending on availability. Please show the corresponding ID during purchase. Special and guest events are excluded from this.;https://www.atzeberlin.de;Luxemburger Str. 20;Berlin;13353;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,35169341;52,54331627;en;Atze Musiktheater GmbH;Ja
Babylon;Kino in Berlin;Freier Eintritt für bestimmte Veranstaltungen;Jeden Samstag Stummfilm um Mitternacht - Null Uhr für Null Euro, KinderKinoBus kostenlos für Kitas und Grundschulen, 31.08.23 bis 10.09.2023 Stummfilm-Live-Festival;https://babylonberlin.eu/;Rosa-Luxemburg-Str. 30;Berlin;10178;Mitte;nein;Freizeit;Erwachsene, Senioren, Familie;13,41143087;52,52595848;de;Babylon;Ja
Babylon;Cinema in Berlin;Free admission for certain events;Every Saturday silent film at midnight - zero o'clock for zero euros, children's cinema bus free for daycare centers and elementary schools, from 31.08.23 to 10.09.2023 silent film live festival;https://babylonberlin.eu/;Rosa-Luxemburg-Str. 30;Berlin;10178;Mitte;nein;Freizeit;Erwachsene, Senioren, Familie;13,41143087;52,52595848;en;Babylon;Ja
Babylon Kreuzberg;Das Babylon Kreuzberg ist ein Berliner Programmkino mit zwei Sälen, in denen ausschließlich Filme in der Originalfassung gezeigt werden. ;Ermäßigter Eintritt;ermäßigter Eintritt, Mo-Do ganztägig, am Freitag bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.;http://www.yorck.de/preise-angebote;Dresdener Str. 126;Berlin;10999;Friedrichshain-Kreuzberg;nein;Freizeit;Erwachsene, Senioren, Familie;13,41692168;52,50066316;de;Babylon Kreuzberg;Ja
Babylon Kreuzberg;Babylon Kreuzberg is a Berlin program cinema with two halls that exclusively shows films in their original version;Reduced admission;reduced admission, all day Monday to Thursday, until 6 PM on Friday. Not valid on public holidays and during special events;http://www.yorck.de/preise-angebote;Dresdener Str. 126;Berlin;10999;Friedrichshain-Kreuzberg;nein;Freizeit;Erwachsene, Senioren, Familie;13,41692168;52,50066316;en;Babylon Kreuzberg;Ja
Bali-Kino;Das Kino mit politischen Wurzeln in der Nachkriegsära bietet ein gehobenes Filmprogramm und Themenabende.;Ermäßigter Eintritt;ermäßigter Eintritt Kindervorstellung 5 Euro für Erwachsene, Abendvorstellung 8 Euro für Erwachsene;http://www.balikino-berlin.de/;Teltower Damm 33;Berlin;14169;Steglitz-Zehlendorf;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,259146;52,43194272;de;Bali-Kino;Ja
Bali-Kino;The cinema with political roots in the post-war era offers a sophisticated film program and themed evenings;Reduced admission;Reduced admission children's show 5 euros for adults, evening show 8 euros for adults;http://www.balikino-berlin.de/;Teltower Damm 33;Berlin;14169;Steglitz-Zehlendorf;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,259146;52,43194272;en;Bali-Kino;Ja
Ballettschule Sabine Roth;Der Schwerpunkt der Schule liegt im Ballettunterricht für Kinder, Jugendliche und Erwachsene;Ermäßigte Kursgebühren;ermäßigte Kursgebühren nach Absprache;https://www.ballettschule-roth.de/;Bergmannstraße 5;Berlin;10965;Friedrichshain-Kreuzberg;nein;Bildung & Beratung;Kinder, Erwachsene;13,38876281;52,48966747;de;Ballettschule Sabine Roth;Ja
Ballet School Sabine Roth;The focus of the school is on ballet classes for children, teenagers, and adults;Reduced course fees;Reduced course fees upon agreement;https://www.ballettschule-roth.de/;Bergmannstraße 5;Berlin;10965;Friedrichshain-Kreuzberg;nein;Bildung & Beratung;Kinder, Erwachsene;13,38876281;52,48966747;en;Ballettschule Sabine Roth;Ja
Ballhaus Naunynstraße;Das Ballhaus Naunynstraße ist ein Berliner Theater mit Programmschwerpunkt auf „postmigrantischen Kulturproduktionen“.;Ermäßigter Eintritt ;3 Euro Ticket An der Abendkasse nach Verfügbarkeit ab 30 Minuten vor Vorstellungsbeginn, keine Reservierungen, gilt nicht für Premieren und Sonderveranstaltungen;https://ballhausnaunynstrasse.de/;Naunynstraße 27;Berlin;10997;Friedrichshain-Kreuzberg;nein;Kultur;Erwachsene, Senioren, Familie;13,42129884;52,5019991;de;Ballhaus Naunynstraße;Ja
Ballhaus Naunynstraße;Ballhaus Naunynstraße is a Berlin theater with a focus on post-migrant cultural productions;Discounted admission;3 Euro ticket available at the box office 30 minutes before the performance starts subject to availability no reservations not valid for premieres and special events;https://ballhausnaunynstrasse.de/;Naunynstraße 27;Berlin;10997;Friedrichshain-Kreuzberg;nein;Kultur;Erwachsene, Senioren, Familie;13,42129884;52,5019991;en;Ballhaus Naunynstraße;Ja
Bar jeder Vernunft;Die Bar jeder Vernunft ist ein Theater im Berliner Ortsteil Wilmersdorf, in dem die Genres Chanson, Kabarett, Konzert und Musical in einem historischen Spiegelzelt präsentiert werden.;Ermäßigter Eintritt;ermäßigter Eintritt, Berechtigungsnachweis-Inhaber*innen erhalten - nach Verfügbarkeit - ermäßigte Tickets im Vorverkauf und an der Abendkasse (ab 12,50 Euro).;https://www.bar-jeder-vernunft.de/;Schaperstraße 24;Berlin;10719;Charlottenburg-Wilmersdorf;nein;Freizeit;Erwachsene;13,32850148;52,4988726;de;Bar jeder Vernunft;Ja
Bar jeder Vernunft;The Bar jeder Vernunft is a theater in the Berlin district of Wilmersdorf, where the genres of chanson, cabaret, concert, and musical are presented in a historical mirror tent.;Discounted admission;Discounted admission, proof of eligibility holders receive - subject to availability - discounted tickets in advance and at the box office (from 12.50 euros).;https://www.bar-jeder-vernunft.de/;Schaperstraße 24;Berlin;10719;Charlottenburg-Wilmersdorf;nein;Freizeit;Erwachsene;13,32850148;52,4988726;en;Bar jeder Vernunft;Ja
Berlin Dungeon;Berlin Dungeon ist eine Touristenattraktion einer Kette, zu der auch das London Dungeon und das Hamburg Dungeon gehören. Es bietet eine Reise durch Berlins dunkle Geschichte in einem von Schauspielern geführten, interaktiven Erlebnis.;Bei Vorlage des Berechtigungsnachweises erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten).;Bei Vorlage des Berechtigungsnachweises erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten). Gültig von Mo-Fr ab 15 Uhr. Kinder bis einschließlich 14 Jahren haben nur in Begleitung Erwachsener Zutritt. Das Berlin Dungeon wird für Kinder ab 10 Jahren empfohlen. Unter 8 Jahren gewähren wir keinen Eintritt.;https://www.thedungeons.com/berlin/;Spandauer Str. 2;Berlin;10178;Mitte;nein;Freizeit;Kinder, Familie;13,4037661;52,52114466;de;Berlin Dungeon;Ja
Berlin Dungeon;Berlin Dungeon is a tourist attraction that is part of a chain which includes the London Dungeon and the Hamburg Dungeon. It offers a journey through Berlin's dark history in an actor-led, interactive experience.;Upon presentation of the eligibility proof, you will receive two tickets for the price of one (not combinable with other discounts).;Upon presentation of the eligibility proof, you will receive two tickets for the price of one (not combinable with other discounts). Valid from Monday to Friday starting at 3 PM. Children up to and including 14 years of age are only permitted when accompanied by an adult. The Berlin Dungeon is recommended for children aged 10 and above. Entry is not permitted for children under 8 years.;https://www.thedungeons.com/berlin/;Spandauer Str. 2;Berlin;10178;Mitte;nein;Freizeit;Kinder, Familie;13,4037661;52,52114466;en;Berlin Dungeon;Ja
Berlin Recycling Volleys;Die Berlin Recycling Volleys sind eine Männer-Volleyballmannschaft des Berliner Sportvereins SC Charlottenburg und spielen in der Bundesliga.;Ermäßigter Eintritt zu allen Heimspielen der BR Volleys;ermäßigter Eintritt in der PK 2 zu allen Heimspielen der BR Volleys im Volleyballtempel Max-Schmeling-Halle, Tickets können nach vorheriger Reservierung unter tickets@br-volleys.de am Spieltag an der Tageskasse erworben werden. √ñffnung 60 Minuten vor Spielbeginn.;https://www.berlin-recycling-volleys.de/;Am Falkpl. 1;Berlin;10437;Pankow;nein;Sport;Kinder, Erwachsene, Familie, Senioren;13,40604088;52,54594834;de;Berlin Recycling Volleys;Ja
